#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
6.05   5   3.051   -0.2311
6.06   5   3.059   -0.2213
6.07   5   3.067   -0.2116
6.08   5   3.075   -0.2018
6.09   5   3.083   -0.192
6.1   5   3.091   -0.1822
6.11   5   3.1   -0.1723
6.12   5   3.108   -0.1625
6.13   5   3.117   -0.1526
6.14   5   3.125   -0.1427
6.15   5   3.134   -0.1328
6.16   5   3.143   -0.1229
6.17   5   3.152   -0.1129
6.18   5   3.161   -0.103
6.19   5   3.17   -0.09305
6.2   5   3.179   -0.08309
6.21   0   3.189   -0.07312
6.22   0   3.198   -0.06314
6.23   0   3.207   -0.05316
6.24   0   3.216   -0.04317
6.25   0   3.224   -0.03318
6.26   0   3.232   -0.02318
6.27   0   3.239   -0.01318
6.28   0   3.246   -0.003185
6.29   0   3.252   0.006815
6.3   0   3.259   0.01681
6.31   0   3.265   0.02681
6.32   0   3.27   0.03681
6.33   0   3.275   0.0468
6.34   0   3.28   0.05678
6.35   0   3.284   0.06676
6.36   0   3.288   0.07674
6.37   0   3.291   0.08671
6.38   0   3.295   0.09666
6.39   0   3.297   0.1066
6.4   0   3.3   0.1165
6.41   0   3.302   0.1265
6.42   0   3.304   0.1364
6.43   0   3.305   0.1463
6.44   0   3.306   0.1562
6.45   0   3.307   0.166
6.46   0   3.307   0.1759
6.47   0   3.308   0.1857
6.48   0   3.307   0.1955
6.49   0   3.307   0.2053
6.5   0   3.306   0.2151
6.51   0   3.304   0.2249
6.52   0   3.303   0.2346
6.53   0   3.301   0.2443
6.54   0   3.299   0.254
6.55   0   3.296   0.2637
6.56   0   3.294   0.2733
6.57   0   3.29   0.2829
6.58   0   3.287   0.2925
6.59   0   3.283   0.302
6.6   0   3.279   0.3115
6.61   0   3.275   0.321
6.62   0   3.271   0.3305
6.63   0   3.266   0.3399
6.64   0   3.261   0.3493
6.65   0   3.255   0.3586
6.66   0   3.25   0.368
6.67   0   3.244   0.3772
6.68   0   3.237   0.3865
6.69   0   3.231   0.3957
6.7   0   3.224   0.4048
6.71   0   3.217   0.414
6.72   0   3.21   0.4231
6.73   0   3.203   0.4321
6.74   0   3.195   0.4411
6.75   0   3.187   0.45
6.76   0   3.179   0.459
6.77   0   3.17   0.4678
6.78   0   3.161   0.4766
6.79   0   3.153   0.4854
6.8   0   3.143   0.4941
6.81   0   3.134   0.5028
6.82   0   3.124   0.5114
6.83   0   3.115   0.52
6.84   0   3.105   0.5285
6.85   0   3.094   0.5369
6.86   0   3.084   0.5454
6.87   0   3.073   0.5537
6.88   0   3.063   0.562
6.89   0   3.051   0.5703
6.9   0   3.04   0.5784
6.91   0   3.029   0.5866
6.92   0   3.017   0.5946
6.93   0   3.005   0.6026
6.94   0   2.993   0.6106
6.95   0   2.981   0.6185
6.96   0   2.969   0.6263
6.97   0   2.956   0.6341
6.98   0   2.944   0.6418
6.99   0   2.931   0.6494
7   0   2.918   0.657
7.01   5   2.905   0.6645
7.02   5   2.891   0.6719
7.03   5   2.878   0.6793
7.04   5   2.866   0.6866
7.05   5   2.853   0.6938
7.06   5   2.841   0.701
7.07   5   2.83   0.7081
7.08   5   2.818   0.7151
7.09   5   2.807   0.7221
7.1   5   2.797   0.729
7.11   5   2.786   0.7358
7.12   5   2.776   0.7425
7.13   5   2.767   0.7492
7.14   5   2.757   0.7558
7.15   5   2.748   0.7623
7.16   5   2.739   0.7687
7.17   5   2.731   0.7751
7.18   5   2.723   0.7813
7.19   5   2.715   0.7875
7.2   5   2.707   0.7937
7.21   5   2.7   0.7997
7.22   5   2.693   0.8057
7.23   5   2.687   0.8116
7.24   5   2.68   0.8174
7.25   5   2.674   0.8231
7.26   5   2.669   0.8287
7.27   5   2.663   0.8343
7.28   5   2.658   0.8397
7.29   5   2.653   0.8451
7.3   5   2.649   0.8504
7.31   5   2.644   0.8557
7.32   5   2.64   0.8608
7.33   5   2.637   0.8658
7.34   5   2.633   0.8708
7.35   5   2.63   0.8757
7.36   5   2.627   0.8805
7.37   5   2.624   0.8851
7.38   5   2.622   0.8898
7.39   5   2.62   0.8943
7.4   5   2.618   0.8987
7.41   5   2.616   0.903
7.42   5   2.615   0.9073
7.43   5   2.614   0.9115
7.44   5   2.613   0.9155
7.45   5   2.612   0.9195
7.46   5   2.612   0.9234
7.47   5   2.612   0.9272
7.48   5   2.612   0.9309
7.49   5   2.612   0.9345
7.5   5   2.613   0.938
7.51   5   2.614   0.9414
7.52   5   2.615   0.9447
7.53   5   2.616   0.948
7.54   5   2.618   0.9511
7.55   5   2.619   0.9542
7.56   5   2.621   0.9571
7.57   5   2.623   0.9599
7.58   5   2.626   0.9627
